code,label,note
0,Not at junction or within 20 metres,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
13,T or staggered junction,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
16,Crossroads,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
17,Junction with more than four arms (not roundabout),New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
18,Using private drive or entrance,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
99,unknown (self reported),New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
-1,Data missing or out of range,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
