code,label,note
0,No physical crossing facilities within 50 metres,data collected in the 2011 STATS19 specification (or earlier)
1,Zebra,data collected in the 2011 STATS19 specification (or earlier)
4,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",data collected in the 2011 STATS19 specification (or earlier)
5,Pedestrian phase at traffic signal junction,data collected in the 2011 STATS19 specification (or earlier)
7,Footbridge or subway,data collected in the 2011 STATS19 specification (or earlier)
8,Central refuge,data collected in the 2011 STATS19 specification (or earlier)
-1,Data missing or out of range,data collected in the 2011 STATS19 specification (or earlier)
9,unknown (self reported),data collected in the 2011 STATS19 specification (or earlier)
