code,label,note
0,None within 50 metres ,data collected in the 2011 STATS19 specification (or earlier)
1,Control by school crossing patrol,data collected in the 2011 STATS19 specification (or earlier)
2,Control by other authorised person,data collected in the 2011 STATS19 specification (or earlier)
-1,Data missing or out of range,data collected in the 2011 STATS19 specification (or earlier)
9,unknown (self reported),data collected in the 2011 STATS19 specification (or earlier)
