code,label,note
1,Journey as part of work,data collected in the 2011 STATS19 specification (or earlier)
2,Commuting to/from work,data collected in the 2011 STATS19 specification (or earlier)
3,Taking pupil to/from school,data collected in the 2011 STATS19 specification (or earlier)
4,Pupil riding to/from school,data collected in the 2011 STATS19 specification (or earlier)
5,Other,data collected in the 2011 STATS19 specification (or earlier)
6,Not known,data collected in the 2011 STATS19 specification (or earlier)
15,Other/Not known,2005 specification only
-1,Data missing or out of range,data collected in the 2011 STATS19 specification (or earlier)
