code,label,note
1,Journey as part of work,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
2,Commuting to or from work,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
6,Not known or not requested,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
7,Education and educational escort,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
8,Emergency vehicle (blue light) on response,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
9,Personal business or leisure,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
-1,Data missing or out of range,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
