code,label,note
0,On main carriageway (not in restricted lane),New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
1,Tram or Light rail track,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
2,Bus lane or Busway,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
4,Cycle lane (on main carriageway),New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
5,Cycleway or shared use footway (not part of main carriageway),New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
6,Lay-by or hard shoulder,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
9,Footway (pavement),New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
99,unknown (self reported),New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
-1,Data missing or out of range,New field added with the 2024 data - data collected in or converted to the 2024 STATS19 specification
