Hourly measurement data supplied by UK-air on 04/05/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Bexley",,,,"London Bloomsbury",,,,"London Eltham",,,,"London Harlington",,,,"London Hillingdon",,"London Honor Oak Park",,,,"London Marylebone Road",,,,,,"London N. Kensington",,,,,,"London Teddington Bushy Park",,,,"London Westminster",
Latitude,,51.466030,,,,51.522290,,,,51.452580,,,,51.488790,,,,51.496330,,51.449674,,,,51.522530,,,,,,51.521050,,,,,,51.425286,,,,51.494670,,
Longitude,,0.184806,,,,-0.125889,,,,0.070766,,,,-0.441614,,,,-0.460861,,-0.037418,,,,-0.154611,,,,,,-0.213419,,,,,,-0.345606,,,,-0.131931,,
Site Type,,Suburban Background,,,,Urban Background,,,,Suburban Background,,,,Urban Industrial,,,,Urban Background,,Urban Background,,,,Urban Traffic,,,,,,Urban Background,,,,,,Urban Background,,,,Urban Background,,
Zone,,Greater London,,,,Greater London,,,,Greater London,,,,Greater London,,,,Greater London,,Greater London,,,,Greater London,,,,,,Greater London,,,,,,Greater London,,,,Greater London,,
Agglomeration,,Greater London Urban Area,,,,Greater London Urban Area,,,,Greater London Urban Area,,,,Greater London Urban Area,,,,Greater London Urban Area,,Greater London Urban Area,,,,Greater London Urban Area,,,,,,Greater London Urban Area,,,,,,Greater London Urban Area,,,,Greater London Urban Area,,
Local Authority,,"Bexley",,,,"Camden",,,,"Greenwich",,,,"Hillingdon",,,,"Hillingdon",,"Lewisham",,,,"Westminster",,,,,,"Kensington",,,,,,"Richmond",,,,"Westminster",,
Date,Time,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status
2020-01-01,01:00:00,No data,,38,V ugm-3 (TEOM FDMS),44.9,V ugm-3 (TEOM FDMS),35.6,V ugm-3 (TEOM FDMS),,,36.3,V ugm-3 (TEOM FDMS),66.335,V ugm-3 (FIDAS),55.137,V ugm-3 (Ref.eq),,,68.3,V ugm-3 (FIDAS),58.562,V ugm-3 (Ref.eq),No data,V mgm-3,69,V ugm-3 (TEOM FDMS),58.1,V ugm-3 (TEOM FDMS),0.213586,V mgm-3,41.85,V ugm-3 (FIDAS),35.189,V ugm-3 (Ref.eq),No data,V ugm-3 (FIDAS),No data,V ugm-3 (Ref.eq),42,V ugm-3 (BAM)
2020-01-01,02:00:00,No data,,48.1,V ugm-3 (TEOM FDMS),48.5,V ugm-3 (TEOM FDMS),42.5,V ugm-3 (TEOM FDMS),,,61.7,V ugm-3 (TEOM FDMS),82.37,V ugm-3 (FIDAS),70.347,V ugm-3 (Ref.eq),,,54.3,V ugm-3 (FIDAS),46.745,V ugm-3 (Ref.eq),0.397528,V mgm-3,45,V ugm-3 (TEOM FDMS),43.2,V ugm-3 (TEOM FDMS),0.236887,V mgm-3,43,V ugm-3 (FIDAS),36.25,V ugm-3 (Ref.eq),52.275,V ugm-3 (FIDAS),45.495,V ugm-3 (Ref.eq),48,V ugm-3 (BAM)
2020-01-01,03:00:00,No data,,46.9,V ugm-3 (TEOM FDMS),49.1,V ugm-3 (TEOM FDMS),42.3,V ugm-3 (TEOM FDMS),,,45.6,V ugm-3 (TEOM FDMS),53.073,V ugm-3 (FIDAS),45.738,V ugm-3 (Ref.eq),,,52.95,V ugm-3 (FIDAS),45.896,V ugm-3 (Ref.eq),0.346417,V mgm-3,46.2,V ugm-3 (TEOM FDMS),43,V ugm-3 (TEOM FDMS),0.203878,V mgm-3,46.025,V ugm-3 (FIDAS),39.623,V ugm-3 (Ref.eq),53.5,V ugm-3 (FIDAS),46.321,V ugm-3 (Ref.eq),52,V ugm-3 (BAM)
