Hourly measurement data supplied by UK-air on 04/05/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Bexley",,,,"London Bloomsbury",,,,"London Eltham",,,,"London Harlington",,,,"London Hillingdon",,"London Honor Oak Park",,,,"London Marylebone Road",,,,,,"London N. Kensington",,,,,,"London Teddington Bushy Park",,,,"London Westminster",
Latitude,,51.466030,,,,51.522290,,,,51.452580,,,,51.488790,,,,51.496330,,51.449674,,,,51.522530,,,,,,51.521050,,,,,,51.425286,,,,51.494670,,
Longitude,,0.184806,,,,-0.125889,,,,0.070766,,,,-0.441614,,,,-0.460861,,-0.037418,,,,-0.154611,,,,,,-0.213419,,,,,,-0.345606,,,,-0.131931,,
Site Type,,Suburban Background,,,,Urban Background,,,,Suburban Background,,,,Urban Industrial,,,,Urban Background,,Urban Background,,,,Urban Traffic,,,,,,Urban Background,,,,,,Urban Background,,,,Urban Background,,
Zone,,Greater London,,,,Greater London,,,,Greater London,,,,Greater London,,,,Greater London,,Greater London,,,,Greater London,,,,,,Greater London,,,,,,Greater London,,,,Greater London,,
Agglomeration,,Greater London Urban Area,,,,Greater London Urban Area,,,,Greater London Urban Area,,,,Greater London Urban Area,,,,Greater London Urban Area,,Greater London Urban Area,,,,Greater London Urban Area,,,,,,Greater London Urban Area,,,,,,Greater London Urban Area,,,,Greater London Urban Area,,
Local Authority,,"Bexley",,,,"Camden",,,,"Greenwich",,,,"Hillingdon",,,,"Hillingdon",,"Lewisham",,,,"Westminster",,,,,,"Kensington",,,,,,"Richmond",,,,"Westminster",,
Date,Time,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status
2021-01-01,01:00:00,45.525,V ugm-3 (FIDAS),39.552,V ugm-3 (Ref.eq),18.358,V ugm-3 (Ref.eq),20,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),25.838,V ugm-3 (FIDAS),22.453,V ugm-3 (Ref.eq),,,33.275,V ugm-3 (FIDAS),29.316,V ugm-3 (Ref.eq),0.263926,V mgm-3,21.3,V ugm-3 (TEOM FDMS),18.6,V ugm-3 (TEOM FDMS),0.140844,V mgm-3,35.15,V ugm-3 (FIDAS),30.448,V ugm-3 (Ref.eq),35.275,V ugm-3 (FIDAS),31.085,V ugm-3 (Ref.eq),20,V ugm-3 (BAM)
2021-01-01,02:00:00,60.375,V ugm-3 (FIDAS),52.359,V ugm-3 (Ref.eq),22.223,V ugm-3 (Ref.eq),19,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),21.028,V ugm-3 (FIDAS),19.099,V ugm-3 (Ref.eq),,,21.625,V ugm-3 (FIDAS),19.293,V ugm-3 (Ref.eq),0.294213,V mgm-3,45.1,V ugm-3 (TEOM FDMS),40.3,V ugm-3 (TEOM FDMS),0.129106,V mgm-3,65.475,V ugm-3 (FIDAS),55.802,V ugm-3 (Ref.eq),32.175,V ugm-3 (FIDAS),28.585,V ugm-3 (Ref.eq),26,V ugm-3 (BAM)
2021-01-01,03:00:00,23.775,V ugm-3 (FIDAS),20.92,V ugm-3 (Ref.eq),22.223,V ugm-3 (Ref.eq),14,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),23.18,V ugm-3 (FIDAS),20.925,V ugm-3 (Ref.eq),,,18.775,V ugm-3 (FIDAS),16.604,V ugm-3 (Ref.eq),0.27258,V mgm-3,25.6,V ugm-3 (TEOM FDMS),23.9,V ugm-3 (TEOM FDMS),0.114435,V mgm-3,32.675,V ugm-3 (FIDAS),28.278,V ugm-3 (Ref.eq),27.175,V ugm-3 (FIDAS),24.481,V ugm-3 (Ref.eq),24,V ugm-3 (BAM)
2021-01-01,04:00:00,17.75,V ugm-3 (FIDAS),15.943,V ugm-3 (Ref.eq),17.392,V ugm-3 (Ref.eq),17,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),22.053,V ugm-3 (FIDAS),19.974,V ugm-3 (Ref.eq),,,17.2,V ugm-3 (FIDAS),15.33,V ugm-3 (Ref.eq),0.321255,V mgm-3,20.8,V ugm-3 (TEOM FDMS),18.1,V ugm-3 (TEOM FDMS),0.082159,V mgm-3,17.6,V ugm-3 (FIDAS),15.613,V ugm-3 (Ref.eq),30.15,V ugm-3 (FIDAS),26.557,V ugm-3 (Ref.eq),15,V ugm-3 (BAM)
2021-01-01,05:00:00,19.125,V ugm-3 (FIDAS),17.076,V ugm-3 (Ref.eq),24.155,V ugm-3 (Ref.eq),20,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),18.625,V ugm-3 (FIDAS),17.363,V ugm-3 (Ref.eq),,,20.05,V ugm-3 (FIDAS),17.807,V ugm-3 (Ref.eq),0.314765,V mgm-3,20.9,V ugm-3 (TEOM FDMS),21.7,V ugm-3 (TEOM FDMS),0.105633,V mgm-3,21.65,V ugm-3 (FIDAS),19.764,V ugm-3 (Ref.eq),22.675,V ugm-3 (FIDAS),20.66,V ugm-3 (Ref.eq),21,V ugm-3 (BAM)
2021-01-01,06:00:00,21.5,V ugm-3 (FIDAS),19.127,V ugm-3 (Ref.eq),24.155,V ugm-3 (Ref.eq),21,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),13.31,V ugm-3 (FIDAS),12.434,V ugm-3 (Ref.eq),,,22.325,V ugm-3 (FIDAS),19.906,V ugm-3 (Ref.eq),0.30503,V mgm-3,23.3,V ugm-3 (TEOM FDMS),22.2,V ugm-3 (TEOM FDMS),0.093896,V mgm-3,19.125,V ugm-3 (FIDAS),17.618,V ugm-3 (Ref.eq),17.9,V ugm-3 (FIDAS),16.58,V ugm-3 (Ref.eq),22,V ugm-3 (BAM)
2021-01-01,07:00:00,24.75,V ugm-3 (FIDAS),22.005,V ugm-3 (Ref.eq),19.324,V ugm-3 (Ref.eq),17,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),14.485,V ugm-3 (FIDAS),13.316,V ugm-3 (Ref.eq),,,23.525,V ugm-3 (FIDAS),21.203,V ugm-3 (Ref.eq),0.33099,V mgm-3,15.9,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),0.088027,V mgm-3,16.4,V ugm-3 (FIDAS),15.189,V ugm-3 (Ref.eq),17.9,V ugm-3 (FIDAS),16.722,V ugm-3 (Ref.eq),18,V ugm-3 (BAM)
2021-01-01,08:00:00,23.8,V ugm-3 (FIDAS),21.627,V ugm-3 (Ref.eq),21.256,V ugm-3 (Ref.eq),17,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),14.475,V ugm-3 (FIDAS),13.335,V ugm-3 (Ref.eq),,,20.95,V ugm-3 (FIDAS),19.363,V ugm-3 (Ref.eq),0.30503,V mgm-3,18.6,V ugm-3 (TEOM FDMS),18.1,V ugm-3 (TEOM FDMS),0.093896,V mgm-3,16.575,V ugm-3 (FIDAS),15.024,V ugm-3 (Ref.eq),18.775,V ugm-3 (FIDAS),17.335,V ugm-3 (Ref.eq),15,V ugm-3 (BAM)
2021-01-01,09:00:00,22.5,V ugm-3 (FIDAS),20.59,V ugm-3 (Ref.eq),15.459,V ugm-3 (Ref.eq),17,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),18.29,V ugm-3 (FIDAS),16.811,V ugm-3 (Ref.eq),,,19.2,V ugm-3 (FIDAS),17.665,V ugm-3 (Ref.eq),0.3245,V mgm-3,19.9,V ugm-3 (TEOM FDMS),18.3,V ugm-3 (TEOM FDMS),0.093896,V mgm-3,17.2,V ugm-3 (FIDAS),15.896,V ugm-3 (Ref.eq),20.225,V ugm-3 (FIDAS),18.726,V ugm-3 (Ref.eq),14,V ugm-3 (BAM)
2021-01-01,10:00:00,22.6,V ugm-3 (FIDAS),20.448,V ugm-3 (Ref.eq),24.155,V ugm-3 (Ref.eq),17,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),20.92,V ugm-3 (FIDAS),19.01,V ugm-3 (Ref.eq),,,17.675,V ugm-3 (FIDAS),16.226,V ugm-3 (Ref.eq),0.347215,V mgm-3,23.1,V ugm-3 (TEOM FDMS),25,V ugm-3 (TEOM FDMS),0.105633,V mgm-3,19.625,V ugm-3 (FIDAS),18.066,V ugm-3 (Ref.eq),22.325,V ugm-3 (FIDAS),20.354,V ugm-3 (Ref.eq),21,V ugm-3 (BAM)
2021-01-01,11:00:00,20.125,V ugm-3 (FIDAS),18.491,V ugm-3 (Ref.eq),24.155,V ugm-3 (Ref.eq),21,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),23.883,V ugm-3 (FIDAS),21.757,V ugm-3 (Ref.eq),,,20.575,V ugm-3 (FIDAS),18.774,V ugm-3 (Ref.eq),0.360195,V mgm-3,24.7,V ugm-3 (TEOM FDMS),24.9,V ugm-3 (TEOM FDMS),0.111501,V mgm-3,21.775,V ugm-3 (FIDAS),20.165,V ugm-3 (Ref.eq),24.8,V ugm-3 (FIDAS),22.807,V ugm-3 (Ref.eq),21,V ugm-3 (BAM)
2021-01-01,12:00:00,23.45,V ugm-3 (FIDAS),21.344,V ugm-3 (Ref.eq),28.986,V ugm-3 (Ref.eq),31,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),25.043,V ugm-3 (FIDAS),22.738,V ugm-3 (Ref.eq),,,23.4,V ugm-3 (FIDAS),21.462,V ugm-3 (Ref.eq),0.399135,V mgm-3,31.5,V ugm-3 (TEOM FDMS),28.6,V ugm-3 (TEOM FDMS),0.132041,V mgm-3,26.925,V ugm-3 (FIDAS),24.481,V ugm-3 (Ref.eq),28.225,V ugm-3 (FIDAS),25.377,V ugm-3 (Ref.eq),29,V ugm-3 (BAM)
2021-01-01,13:00:00,25.55,V ugm-3 (FIDAS),23.302,V ugm-3 (Ref.eq),32.851,V ugm-3 (Ref.eq),30,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),27.743,V ugm-3 (FIDAS),24.545,V ugm-3 (Ref.eq),,,29.625,V ugm-3 (FIDAS),27.028,V ugm-3 (Ref.eq),0.405625,V mgm-3,35.3,V ugm-3 (TEOM FDMS),31.3,V ugm-3 (TEOM FDMS),0.161384,V mgm-3,29.825,V ugm-3 (FIDAS),26.958,V ugm-3 (Ref.eq),30.625,V ugm-3 (FIDAS),27.877,V ugm-3 (Ref.eq),29,V ugm-3 (BAM)
2021-01-01,14:00:00,31.225,V ugm-3 (FIDAS),27.995,V ugm-3 (Ref.eq),30.918,V ugm-3 (Ref.eq),28,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),31.18,V ugm-3 (FIDAS),27.694,V ugm-3 (Ref.eq),,,34.825,V ugm-3 (FIDAS),31.675,V ugm-3 (Ref.eq),0.489995,V mgm-3,33.4,V ugm-3 (TEOM FDMS),32.1,V ugm-3 (TEOM FDMS),0.202463,V mgm-3,31.65,V ugm-3 (FIDAS),28.396,V ugm-3 (Ref.eq),33.025,V ugm-3 (FIDAS),29.906,V ugm-3 (Ref.eq),32,V ugm-3 (BAM)
2021-01-01,15:00:00,33.675,V ugm-3 (FIDAS),30.354,V ugm-3 (Ref.eq),33.817,V ugm-3 (Ref.eq),31,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),29.4,V ugm-3 (FIDAS),25.764,V ugm-3 (Ref.eq),,,35.05,V ugm-3 (FIDAS),31.911,V ugm-3 (Ref.eq),0.528934,V mgm-3,36.2,V ugm-3 (TEOM FDMS),31.1,V ugm-3 (TEOM FDMS),0.228871,V mgm-3,31.225,V ugm-3 (FIDAS),27.948,V ugm-3 (Ref.eq),33.5,V ugm-3 (FIDAS),30.094,V ugm-3 (Ref.eq),32,V ugm-3 (BAM)
2021-01-01,16:00:00,34.65,V ugm-3 (FIDAS),30.519,V ugm-3 (Ref.eq),26.087,V ugm-3 (Ref.eq),26,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),24.65,V ugm-3 (FIDAS),22.068,V ugm-3 (Ref.eq),,,39.075,V ugm-3 (FIDAS),34.576,V ugm-3 (Ref.eq),0.554895,V mgm-3,34.3,V ugm-3 (TEOM FDMS),28.8,V ugm-3 (TEOM FDMS),0.246476,V mgm-3,27.725,V ugm-3 (FIDAS),24.505,V ugm-3 (Ref.eq),33.225,V ugm-3 (FIDAS),29.811,V ugm-3 (Ref.eq),36,V ugm-3 (BAM)
2021-01-01,17:00:00,36.15,V ugm-3 (FIDAS),32.264,V ugm-3 (Ref.eq),22.223,V ugm-3 (Ref.eq),23,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),25.54,V ugm-3 (FIDAS),22.229,V ugm-3 (Ref.eq),,,41.05,V ugm-3 (FIDAS),36.274,V ugm-3 (Ref.eq),0.57112,V mgm-3,36,V ugm-3 (TEOM FDMS),28.3,V ugm-3 (TEOM FDMS),0.240608,V mgm-3,24.2,V ugm-3 (FIDAS),21.439,V ugm-3 (Ref.eq),32.15,V ugm-3 (FIDAS),28.962,V ugm-3 (Ref.eq),38,V ugm-3 (BAM)
2021-01-01,18:00:00,39.075,V ugm-3 (FIDAS),34.481,V ugm-3 (Ref.eq),28.02,V ugm-3 (Ref.eq),23,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),24.525,V ugm-3 (FIDAS),20.708,V ugm-3 (Ref.eq),,,43.475,V ugm-3 (FIDAS),38.09,V ugm-3 (Ref.eq),0.408871,V mgm-3,27,V ugm-3 (TEOM FDMS),23.4,V ugm-3 (TEOM FDMS),0.24941,V mgm-3,24.05,V ugm-3 (FIDAS),20.401,V ugm-3 (Ref.eq),30.05,V ugm-3 (FIDAS),27.17,V ugm-3 (Ref.eq),34,V ugm-3 (BAM)
2021-01-01,19:00:00,47.075,V ugm-3 (FIDAS),42.736,V ugm-3 (Ref.eq),19.324,V ugm-3 (Ref.eq),23,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),22.445,V ugm-3 (FIDAS),19.385,V ugm-3 (Ref.eq),,,37.925,V ugm-3 (FIDAS),33.75,V ugm-3 (Ref.eq),0.36993,V mgm-3,24.1,V ugm-3 (TEOM FDMS),21.9,V ugm-3 (TEOM FDMS),0.26995,V mgm-3,23.575,V ugm-3 (FIDAS),20.047,V ugm-3 (Ref.eq),26.35,V ugm-3 (FIDAS),23.326,V ugm-3 (Ref.eq),24,V ugm-3 (BAM)
2021-01-01,20:00:00,40.525,V ugm-3 (FIDAS),36.25,V ugm-3 (Ref.eq),16.425,V ugm-3 (Ref.eq),16,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),20.583,V ugm-3 (FIDAS),16.995,V ugm-3 (Ref.eq),,,34.425,V ugm-3 (FIDAS),30.307,V ugm-3 (Ref.eq),0.275825,V mgm-3,20.1,V ugm-3 (TEOM FDMS),15.3,V ugm-3 (TEOM FDMS),0.264081,V mgm-3,23.3,V ugm-3 (FIDAS),19.976,V ugm-3 (Ref.eq),24.075,V ugm-3 (FIDAS),21.227,V ugm-3 (Ref.eq),18,V ugm-3 (BAM)
2021-01-01,21:00:00,20.2,V ugm-3 (FIDAS),16.557,V ugm-3 (Ref.eq),13.527,V ugm-3 (Ref.eq),13,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),17.545,V ugm-3 (FIDAS),14.024,V ugm-3 (Ref.eq),,,22.4,V ugm-3 (FIDAS),18.396,V ugm-3 (Ref.eq),0.17523,V mgm-3,13.7,V ugm-3 (TEOM FDMS),11.3,V ugm-3 (TEOM FDMS),0.240608,V mgm-3,17.75,V ugm-3 (FIDAS),14.34,V ugm-3 (Ref.eq),23.875,V ugm-3 (FIDAS),20.543,V ugm-3 (Ref.eq),13,V ugm-3 (BAM)
2021-01-01,22:00:00,15.775,V ugm-3 (FIDAS),11.934,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),10,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),14.168,V ugm-3 (FIDAS),11.314,V ugm-3 (Ref.eq),,,16.025,V ugm-3 (FIDAS),12.759,V ugm-3 (Ref.eq),0.139535,V mgm-3,11.4,V ugm-3 (TEOM FDMS),8.8,V ugm-3 (TEOM FDMS),0.164318,V mgm-3,12.1,V ugm-3 (FIDAS),9.057,V ugm-3 (Ref.eq),21.525,V ugm-3 (FIDAS),17.948,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
2021-01-01,23:00:00,14.25,V ugm-3 (FIDAS),10.873,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),10,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),10.445,V ugm-3 (FIDAS),7.723,V ugm-3 (Ref.eq),,,15.05,V ugm-3 (FIDAS),11.557,V ugm-3 (Ref.eq),0.09735,V mgm-3,12.2,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),0.140844,V mgm-3,11.65,V ugm-3 (FIDAS),8.585,V ugm-3 (Ref.eq),16.325,V ugm-3 (FIDAS),12.618,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2021-01-01,24:00:00,12.975,V ugm-3 (FIDAS),10,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),8,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),8.784,V ugm-3 (FIDAS),6.831,V ugm-3 (Ref.eq),,,14.5,V ugm-3 (FIDAS),11.321,V ugm-3 (Ref.eq),0.07788,V mgm-3,9.9,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),0.134975,V mgm-3,11.05,V ugm-3 (FIDAS),8.443,V ugm-3 (Ref.eq),12.275,V ugm-3 (FIDAS),9.576,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
2021-01-02,01:00:00,10.7,V ugm-3 (FIDAS),8.962,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),6,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),7.911,V ugm-3 (FIDAS),6.451,V ugm-3 (Ref.eq),,,10.25,V ugm-3 (FIDAS),8.16,V ugm-3 (Ref.eq),0.116727,V mgm-3,6.7,V ugm-3 (TEOM FDMS),5.2,V ugm-3 (TEOM FDMS),0.148668,V mgm-3,9.025,V ugm-3 (FIDAS),7.264,V ugm-3 (Ref.eq),10.8,V ugm-3 (FIDAS),8.679,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
2021-01-02,02:00:00,10.275,V ugm-3 (FIDAS),8.726,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),6,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),7.774,V ugm-3 (FIDAS),6.331,V ugm-3 (Ref.eq),,,9.925,V ugm-3 (FIDAS),7.972,V ugm-3 (Ref.eq),0.077819,V mgm-3,8.3,V ugm-3 (TEOM FDMS),7.1,V ugm-3 (TEOM FDMS),0.136931,V mgm-3,8.2,V ugm-3 (FIDAS),6.84,V ugm-3 (Ref.eq),9.1,V ugm-3 (FIDAS),7.476,V ugm-3 (Ref.eq),11,V ugm-3 (BAM)
2021-01-02,03:00:00,9.575,V ugm-3 (FIDAS),7.925,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),5,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),8.831,V ugm-3 (FIDAS),6.814,V ugm-3 (Ref.eq),,,10.225,V ugm-3 (FIDAS),7.901,V ugm-3 (Ref.eq),0.074575,V mgm-3,10,V ugm-3 (TEOM FDMS),7.8,V ugm-3 (TEOM FDMS),0.120304,V mgm-3,9.825,V ugm-3 (FIDAS),7.453,V ugm-3 (Ref.eq),9.75,V ugm-3 (FIDAS),7.83,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2021-01-02,04:00:00,9.65,V ugm-3 (FIDAS),8.019,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),4,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),7.707,V ugm-3 (FIDAS),5.89,V ugm-3 (Ref.eq),,,10.175,V ugm-3 (FIDAS),8.231,V ugm-3 (Ref.eq),0.090788,V mgm-3,8.2,V ugm-3 (TEOM FDMS),6.6,V ugm-3 (TEOM FDMS),0.105633,V mgm-3,9.225,V ugm-3 (FIDAS),7.052,V ugm-3 (Ref.eq),9.25,V ugm-3 (FIDAS),7.288,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
2021-01-02,05:00:00,9.275,V ugm-3 (FIDAS),7.618,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),6,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),8.871,V ugm-3 (FIDAS),6.106,V ugm-3 (Ref.eq),,,11.325,V ugm-3 (FIDAS),8.679,V ugm-3 (Ref.eq),0.090788,V mgm-3,8.8,V ugm-3 (TEOM FDMS),6.6,V ugm-3 (TEOM FDMS),0.090961,V mgm-3,8.725,V ugm-3 (FIDAS),6.675,V ugm-3 (Ref.eq),10.25,V ugm-3 (FIDAS),7.736,V ugm-3 (Ref.eq),10,V ugm-3 (BAM)
2021-01-02,06:00:00,10.125,V ugm-3 (FIDAS),7.877,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),4,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),7.947,V ugm-3 (FIDAS),4.799,V ugm-3 (Ref.eq),,,11.35,V ugm-3 (FIDAS),8.09,V ugm-3 (Ref.eq),0.09403,V mgm-3,8.1,V ugm-3 (TEOM FDMS),5.6,V ugm-3 (TEOM FDMS),0.099764,V mgm-3,9.05,V ugm-3 (FIDAS),5.778,V ugm-3 (Ref.eq),10.3,V ugm-3 (FIDAS),6.863,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
2021-01-02,07:00:00,10.575,V ugm-3 (FIDAS),7.406,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),7,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),8.553,V ugm-3 (FIDAS),5.698,V ugm-3 (Ref.eq),,,9.4,V ugm-3 (FIDAS),6.203,V ugm-3 (Ref.eq),0.11997,V mgm-3,7.5,V ugm-3 (TEOM FDMS),5.8,V ugm-3 (TEOM FDMS),0.11737,V mgm-3,7.925,V ugm-3 (FIDAS),4.835,V ugm-3 (Ref.eq),8.375,V ugm-3 (FIDAS),5.071,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2021-01-02,08:00:00,8.9,V ugm-3 (FIDAS),5.991,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),5,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),8.054,V ugm-3 (FIDAS),6.179,V ugm-3 (Ref.eq),,,7.475,V ugm-3 (FIDAS),4.976,V ugm-3 (Ref.eq),0.113485,V mgm-3,7.9,V ugm-3 (TEOM FDMS),4.5,V ugm-3 (TEOM FDMS),0.114435,V mgm-3,6.875,V ugm-3 (FIDAS),4.363,V ugm-3 (Ref.eq),8.85,V ugm-3 (FIDAS),5.142,V ugm-3 (Ref.eq),8,V ugm-3 (BAM)
2021-01-02,09:00:00,7.5,V ugm-3 (FIDAS),4.882,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),2,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),6.034,V ugm-3 (FIDAS),4.606,V ugm-3 (Ref.eq),,,5.35,V ugm-3 (FIDAS),3.585,V ugm-3 (Ref.eq),0.145909,V mgm-3,5.1,V ugm-3 (TEOM FDMS),4.4,V ugm-3 (TEOM FDMS),0.111501,V mgm-3,4.5,V ugm-3 (FIDAS),2.995,V ugm-3 (Ref.eq),8.525,V ugm-3 (FIDAS),5.991,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2021-01-02,10:00:00,5.05,V ugm-3 (FIDAS),3.019,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),2,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),6.074,V ugm-3 (FIDAS),4.145,V ugm-3 (Ref.eq),,,3.475,V ugm-3 (FIDAS),2.264,V ugm-3 (Ref.eq),0.178333,V mgm-3,4.6,V ugm-3 (TEOM FDMS),3.2,V ugm-3 (TEOM FDMS),0.114435,V mgm-3,4.525,V ugm-3 (FIDAS),2.995,V ugm-3 (Ref.eq),7,V ugm-3 (FIDAS),5.283,V ugm-3 (Ref.eq),7,V ugm-3 (BAM)
2021-01-02,11:00:00,4.725,V ugm-3 (FIDAS),2.712,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),3,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),5.216,V ugm-3 (FIDAS),3.64,V ugm-3 (Ref.eq),,,4.25,V ugm-3 (FIDAS),2.524,V ugm-3 (Ref.eq),0.223727,V mgm-3,4.3,V ugm-3 (TEOM FDMS),5.1,V ugm-3 (TEOM FDMS),0.140844,V mgm-3,5.125,V ugm-3 (FIDAS),3.585,V ugm-3 (Ref.eq),6.85,V ugm-3 (FIDAS),5.212,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
2021-01-02,12:00:00,3.875,V ugm-3 (FIDAS),2.453,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),5,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),5.483,V ugm-3 (FIDAS),3.665,V ugm-3 (Ref.eq),,,4.4,V ugm-3 (FIDAS),3.019,V ugm-3 (Ref.eq),0.226969,V mgm-3,3.7,V ugm-3 (TEOM FDMS),2.7,V ugm-3 (TEOM FDMS),0.123239,V mgm-3,5.6,V ugm-3 (FIDAS),3.939,V ugm-3 (Ref.eq),5.975,V ugm-3 (FIDAS),4.151,V ugm-3 (Ref.eq),6,V ugm-3 (BAM)
2021-01-02,13:00:00,4.1,V ugm-3 (FIDAS),2.807,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),5,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),5.056,V ugm-3 (FIDAS),3.356,V ugm-3 (Ref.eq),,,5.45,V ugm-3 (FIDAS),3.609,V ugm-3 (Ref.eq),0.210757,V mgm-3,3.4,V ugm-3 (TEOM FDMS),6.1,V ugm-3 (TEOM FDMS),0.105633,V mgm-3,5.55,V ugm-3 (FIDAS),3.491,V ugm-3 (Ref.eq),5.725,V ugm-3 (FIDAS),4.387,V ugm-3 (Ref.eq),5,V ugm-3 (BAM)
2021-01-02,14:00:00,5.7,V ugm-3 (FIDAS),3.75,V ugm-3 (Ref.eq),No data,V ugm-3 (Ref.eq),4,V ugm-3 (BAM),,,No data,V ugm-3 (TEOM FDMS),4.161,V ugm-3 (FIDAS),2.722,V ugm-3 (Ref.eq),,,4.7,V ugm-3 (FIDAS),3.16,V ugm-3 (Ref.eq),0.239939,V mgm-3,3.8,V ugm-3 (TEOM FDMS),1.1,V ugm-3 (TEOM FDMS),0.070421,V mgm-3,4.3,V ugm-3 (FIDAS),2.877,V ugm-3 (Ref.eq),4.15,V ugm-3 (FIDAS),2.901,V ugm-3 (Ref.eq),4,V ugm-3 (BAM)
