Hourly measurement data supplied by UK-air on 04/05/2026
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"London Bexley",,,,"London Bloomsbury",,,,"London Eltham",,,,"London Harlington",,,,"London Hillingdon",,,,"London Honor Oak Park",,,,"London Marylebone Road",,,,,,"London N. Kensington",,,,,,"London Teddington Bushy Park",,,,"London Westminster",
Latitude,,51.466030,,,,51.522290,,,,51.452580,,,,51.488790,,,,51.496330,,,,51.449674,,,,51.522530,,,,,,51.521050,,,,,,51.425286,,,,51.494670,,
Longitude,,0.184806,,,,-0.125889,,,,0.070766,,,,-0.441614,,,,-0.460861,,,,-0.037418,,,,-0.154611,,,,,,-0.213419,,,,,,-0.345606,,,,-0.131931,,
Site Type,,Suburban Background,,,,Urban Background,,,,Suburban Background,,,,Urban Industrial,,,,Urban Background,,,,Urban Background,,,,Urban Traffic,,,,,,Urban Background,,,,,,Urban Background,,,,Urban Background,,
Zone,,Greater London,,,,Greater London,,,,Greater London,,,,Greater London,,,,Greater London,,,,Greater London,,,,Greater London,,,,,,Greater London,,,,,,Greater London,,,,Greater London,,
Agglomeration,,Greater London Urban Area,,,,Greater London Urban Area,,,,Greater London Urban Area,,,,Greater London Urban Area,,,,Greater London Urban Area,,,,Greater London Urban Area,,,,Greater London Urban Area,,,,,,Greater London Urban Area,,,,,,Greater London Urban Area,,,,Greater London Urban Area,,
Local Authority,,"Bexley",,,,"Camden",,,,"Greenwich",,,,"Hillingdon",,,,"Hillingdon",,,,"Lewisham",,,,"Westminster",,,,,,"Kensington",,,,,,"Richmond",,,,"Westminster",,
Date,Time,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status
2023-01-01,01:00:00,8.1,V ugm-3 (FIDAS),5.377,V ugm-3 (Ref.eq),10.225,V ugm-3 (FIDAS),5.66,V ugm-3 (Ref.eq),7.3,V ugm-3 (FIDAS),4.057,V ugm-3 (Ref.eq),6.347,V ugm-3 (FIDAS),4.143,V ugm-3 (Ref.eq),6.35,V ugm-3 (FIDAS),4.08,V ugm-3 (Ref.eq),9.9,V ugm-3 (FIDAS),6.509,V ugm-3 (Ref.eq),0.197914,V mgm-3,11.594,V ugm-3 (Ref.eq),9,V ugm-3 (BAM),0.128062,V mgm-3,10.7,V ugm-3 (FIDAS),7.453,V ugm-3 (Ref.eq),8.55,V ugm-3 (FIDAS),5.307,V ugm-3 (Ref.eq),7.4,V ugm-3 (BAM)
2023-01-01,02:00:00,7.1,V ugm-3 (FIDAS),4.245,V ugm-3 (Ref.eq),10.625,V ugm-3 (FIDAS),5.307,V ugm-3 (Ref.eq),10.1,V ugm-3 (FIDAS),5.283,V ugm-3 (Ref.eq),7.423,V ugm-3 (FIDAS),4.128,V ugm-3 (Ref.eq),8.825,V ugm-3 (FIDAS),4.599,V ugm-3 (Ref.eq),8.5,V ugm-3 (FIDAS),4.717,V ugm-3 (Ref.eq),0.314334,V mgm-3,12.561,V ugm-3 (Ref.eq),11,V ugm-3 (BAM),0.139704,V mgm-3,8.7,V ugm-3 (FIDAS),5.189,V ugm-3 (Ref.eq),11.3,V ugm-3 (FIDAS),5.873,V ugm-3 (Ref.eq),7.4,V ugm-3 (BAM)
2023-01-01,03:00:00,9.7,V ugm-3 (FIDAS),5.283,V ugm-3 (Ref.eq),12.4,V ugm-3 (FIDAS),6.132,V ugm-3 (Ref.eq),12.3,V ugm-3 (FIDAS),6.321,V ugm-3 (Ref.eq),9.244,V ugm-3 (FIDAS),5.041,V ugm-3 (Ref.eq),10.8,V ugm-3 (FIDAS),5.519,V ugm-3 (Ref.eq),10.2,V ugm-3 (FIDAS),5.566,V ugm-3 (Ref.eq),0.279408,V mgm-3,22.223,V ugm-3 (Ref.eq),9,V ugm-3 (BAM),0.139704,V mgm-3,10.9,V ugm-3 (FIDAS),6.038,V ugm-3 (Ref.eq),13.35,V ugm-3 (FIDAS),6.887,V ugm-3 (Ref.eq),6.4,V ugm-3 (BAM)
2023-01-01,04:00:00,13,V ugm-3 (FIDAS),6.698,V ugm-3 (Ref.eq),14.1,V ugm-3 (FIDAS),6.651,V ugm-3 (Ref.eq),13.1,V ugm-3 (FIDAS),6.887,V ugm-3 (Ref.eq),11.228,V ugm-3 (FIDAS),5.977,V ugm-3 (Ref.eq),12.675,V ugm-3 (FIDAS),6.604,V ugm-3 (Ref.eq),13.3,V ugm-3 (FIDAS),6.509,V ugm-3 (Ref.eq),0.256124,V mgm-3,18.358,V ugm-3 (Ref.eq),10,V ugm-3 (BAM),0.139704,V mgm-3,12.9,V ugm-3 (FIDAS),6.509,V ugm-3 (Ref.eq),15.725,V ugm-3 (FIDAS),7.453,V ugm-3 (Ref.eq),5.4,V ugm-3 (BAM)
2023-01-01,05:00:00,14.5,V ugm-3 (FIDAS),7.547,V ugm-3 (Ref.eq),16.475,V ugm-3 (FIDAS),7.5,V ugm-3 (Ref.eq),14.3,V ugm-3 (FIDAS),7.642,V ugm-3 (Ref.eq),12.305,V ugm-3 (FIDAS),6.404,V ugm-3 (Ref.eq),13,V ugm-3 (FIDAS),6.698,V ugm-3 (Ref.eq),15.4,V ugm-3 (FIDAS),7.453,V ugm-3 (Ref.eq),0.267766,V mgm-3,19.324,V ugm-3 (Ref.eq),11,V ugm-3 (BAM),0.151346,V mgm-3,14.8,V ugm-3 (FIDAS),7.359,V ugm-3 (Ref.eq),17.55,V ugm-3 (FIDAS),8.326,V ugm-3 (Ref.eq),4.4,V ugm-3 (BAM)
2023-01-01,06:00:00,16.7,V ugm-3 (FIDAS),8.774,V ugm-3 (Ref.eq),16.95,V ugm-3 (FIDAS),8.113,V ugm-3 (Ref.eq),14.3,V ugm-3 (FIDAS),7.642,V ugm-3 (Ref.eq),13.35,V ugm-3 (FIDAS),7.108,V ugm-3 (Ref.eq),15.1,V ugm-3 (FIDAS),7.547,V ugm-3 (Ref.eq),16.7,V ugm-3 (FIDAS),8.113,V ugm-3 (Ref.eq),0.209556,V mgm-3,22.223,V ugm-3 (Ref.eq),13,V ugm-3 (BAM),0.139704,V mgm-3,15.3,V ugm-3 (FIDAS),7.83,V ugm-3 (Ref.eq),18.125,V ugm-3 (FIDAS),8.939,V ugm-3 (Ref.eq),7.4,V ugm-3 (BAM)
2023-01-01,07:00:00,15.9,V ugm-3 (FIDAS),8.208,V ugm-3 (Ref.eq),16.825,V ugm-3 (FIDAS),8.137,V ugm-3 (Ref.eq),15.3,V ugm-3 (FIDAS),8.302,V ugm-3 (Ref.eq),13.555,V ugm-3 (FIDAS),7.499,V ugm-3 (Ref.eq),15.125,V ugm-3 (FIDAS),8.042,V ugm-3 (Ref.eq),16.3,V ugm-3 (FIDAS),8.208,V ugm-3 (Ref.eq),0.209556,V mgm-3,17.392,V ugm-3 (Ref.eq),11,V ugm-3 (BAM),0.151346,V mgm-3,15.6,V ugm-3 (FIDAS),8.208,V ugm-3 (Ref.eq),19.175,V ugm-3 (FIDAS),9.292,V ugm-3 (Ref.eq),7.4,V ugm-3 (BAM)
2023-01-01,08:00:00,16.6,V ugm-3 (FIDAS),8.868,V ugm-3 (Ref.eq),19.725,V ugm-3 (FIDAS),9.434,V ugm-3 (Ref.eq),17.3,V ugm-3 (FIDAS),9.245,V ugm-3 (Ref.eq),15.918,V ugm-3 (FIDAS),8.785,V ugm-3 (Ref.eq),17.525,V ugm-3 (FIDAS),9.481,V ugm-3 (Ref.eq),18.3,V ugm-3 (FIDAS),8.962,V ugm-3 (Ref.eq),0.209556,V mgm-3,19.324,V ugm-3 (Ref.eq),13,V ugm-3 (BAM),0.139704,V mgm-3,17.4,V ugm-3 (FIDAS),9.245,V ugm-3 (Ref.eq),20.375,V ugm-3 (FIDAS),10.377,V ugm-3 (Ref.eq),6.4,V ugm-3 (BAM)
2023-01-01,09:00:00,19.8,V ugm-3 (FIDAS),10.283,V ugm-3 (Ref.eq),23.8,V ugm-3 (FIDAS),10.66,V ugm-3 (Ref.eq),18.1,V ugm-3 (FIDAS),9.717,V ugm-3 (Ref.eq),16.98,V ugm-3 (FIDAS),9.573,V ugm-3 (Ref.eq),20.425,V ugm-3 (FIDAS),10.495,V ugm-3 (Ref.eq),19.8,V ugm-3 (FIDAS),9.811,V ugm-3 (Ref.eq),0.209556,V mgm-3,22.223,V ugm-3 (Ref.eq),12,V ugm-3 (BAM),0.139704,V mgm-3,19.3,V ugm-3 (FIDAS),10.283,V ugm-3 (Ref.eq),23.55,V ugm-3 (FIDAS),11.627,V ugm-3 (Ref.eq),5.4,V ugm-3 (BAM)
2023-01-01,10:00:00,20.7,V ugm-3 (FIDAS),10.849,V ugm-3 (Ref.eq),23.05,V ugm-3 (FIDAS),10.943,V ugm-3 (Ref.eq),19.3,V ugm-3 (FIDAS),10,V ugm-3 (Ref.eq),16.898,V ugm-3 (FIDAS),9.386,V ugm-3 (Ref.eq),15.3,V ugm-3 (FIDAS),8.255,V ugm-3 (Ref.eq),21,V ugm-3 (FIDAS),10.283,V ugm-3 (Ref.eq),0.23284,V mgm-3,26.087,V ugm-3 (Ref.eq),16,V ugm-3 (BAM),0.139704,V mgm-3,19.4,V ugm-3 (FIDAS),10.566,V ugm-3 (Ref.eq),24.7,V ugm-3 (FIDAS),11.698,V ugm-3 (Ref.eq),7.4,V ugm-3 (BAM)
